intersection,date,timestamp_utc,timestamp_local,time,begin_s,end_s,detector_id,sumo_id,approach,edge_id,movement,count_type,from_edge,to_edge,count,occupancy,speed
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,11,LSA1_S_id11,South,,,,,,0,0,0
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,12,LSA1_S_id12,South,,,,,,0,0,0
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,13,LSA1_E_id13,East,,,,,,36,37,0
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,14,LSA1_E_id14,East,,,,,,126,23,0
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,23,LSA1_E_id23,East,,,,,,49,39,0
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,24,LSA1_E_id24,East,,,,,,82,10,0
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,25,LSA1_E_id25,East,,,,,,0,100,0
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,26,LSA1_E_id26,East,,,,,,21,2,0
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,27,LSA1_E_id27,East,,,,,,69,19,0
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,28,LSA1_N_id28,North,,,,,,7,9,0
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,29,LSA1_N_id29,North,,,,,,0,100,0
