timestamp,west_left,west_straight,west_right,west_total,east_total,north_total,south_total,corridor_out
2025-09-07 21:45:00+00:00,0,5,0,5,5,2,9,12
2025-09-07 22:00:00+00:00,0,4,1,5,11,3,5,4
2025-09-07 22:15:00+00:00,0,1,0,1,6,1,14,9
2025-09-07 22:30:00+00:00,1,1,0,2,7,4,3,2
2025-09-07 22:45:00+00:00,0,1,0,1,4,2,8,3
2025-09-07 23:00:00+00:00,1,2,0,3,5,3,1,3
2025-09-07 23:15:00+00:00,0,1,0,1,8,1,3,1
2025-09-07 23:30:00+00:00,0,3,0,3,2,1,4,4
2025-09-07 23:45:00+00:00,0,3,0,3,6,1,5,4
2025-09-08 00:00:00+00:00,0,1,0,1,3,0,3,1
2025-09-08 00:15:00+00:00,1,1,0,2,3,0,0,2
2025-09-08 00:30:00+00:00,1,1,0,2,1,3,9,6
2025-09-08 00:45:00+00:00,0,0,0,0,3,1,1,0
2025-09-08 01:00:00+00:00,0,1,0,1,4,0,3,3
2025-09-08 01:15:00+00:00,0,1,0,1,0,1,2,2
2025-09-08 01:30:00+00:00,0,2,2,4,4,3,3,2
2025-09-08 01:45:00+00:00,0,1,0,1,3,0,0,1
2025-09-08 02:00:00+00:00,1,0,0,1,1,0,6,3
2025-09-08 02:15:00+00:00,1,5,4,10,8,1,15,11
2025-09-08 02:30:00+00:00,0,2,6,8,7,1,12,9
2025-09-08 02:45:00+00:00,1,10,0,11,13,1,12,17
2025-09-08 03:00:00+00:00,2,7,3,12,3,9,17,21
2025-09-08 03:15:00+00:00,1,10,7,18,18,9,23,35
2025-09-08 03:30:00+00:00,1,37,2,40,27,12,32,66
2025-09-08 03:45:00+00:00,1,35,0,36,45,11,41,66
2025-09-08 04:00:00+00:00,6,22,6,34,27,10,25,55
2025-09-08 04:15:00+00:00,3,19,13,35,33,11,38,61
2025-09-08 04:30:00+00:00,9,51,17,77,49,20,74,116
2025-09-08 04:45:00+00:00,5,33,28,66,54,17,105,120
2025-09-08 05:00:00+00:00,10,34,36,80,71,22,84,134
2025-09-08 05:15:00+00:00,10,68,12,90,119,36,103,151
2025-09-08 05:30:00+00:00,11,64,0,75,144,49,104,162
2025-09-08 05:45:00+00:00,13,42,0,55,147,46,111,138
2025-09-08 06:00:00+00:00,13,50,0,63,113,29,138,156
2025-09-08 06:15:00+00:00,8,3,38,49,128,24,88,143
2025-09-08 06:30:00+00:00,10,49,0,59,109,51,104,143
2025-09-08 06:45:00+00:00,11,73,0,84,123,39,157,157
2025-09-08 07:00:00+00:00,13,58,0,71,118,43,110,131
2025-09-08 07:15:00+00:00,9,30,19,58,135,44,116,125
2025-09-08 07:30:00+00:00,12,37,6,55,134,50,110,126
2025-09-08 07:45:00+00:00,10,54,12,76,152,41,113,164
2025-09-08 08:00:00+00:00,11,44,2,57,140,48,119,131
2025-09-08 08:15:00+00:00,11,53,2,66,142,43,123,154
2025-09-08 08:30:00+00:00,12,44,11,67,157,45,115,149
2025-09-08 08:45:00+00:00,8,42,22,72,130,43,120,137
2025-09-08 09:00:00+00:00,8,12,42,62,129,39,120,142
2025-09-08 09:15:00+00:00,4,7,54,65,135,72,111,126
2025-09-08 09:30:00+00:00,9,13,30,52,157,52,86,137
2025-09-08 09:45:00+00:00,10,40,7,57,157,52,96,134
2025-09-08 10:00:00+00:00,15,52,0,67,177,56,88,127
2025-09-08 10:15:00+00:00,9,54,0,63,153,53,99,119
2025-09-08 10:30:00+00:00,9,51,0,60,182,46,99,118
2025-09-08 10:45:00+00:00,5,75,0,80,147,45,112,133
2025-09-08 11:00:00+00:00,8,44,0,52,155,59,117,126
2025-09-08 11:15:00+00:00,8,63,0,71,121,36,124,147
2025-09-08 11:30:00+00:00,5,73,0,78,143,47,97,154
2025-09-08 11:45:00+00:00,13,57,0,70,178,50,120,132
2025-09-08 12:00:00+00:00,8,60,0,68,163,40,112,149
2025-09-08 12:15:00+00:00,7,64,0,71,146,50,118,134
2025-09-08 12:30:00+00:00,6,57,3,66,167,44,126,148
2025-09-08 12:45:00+00:00,10,72,0,82,162,44,99,142
2025-09-08 13:00:00+00:00,16,44,6,66,215,48,123,153
2025-09-08 13:15:00+00:00,18,27,14,59,180,27,106,145
2025-09-08 13:30:00+00:00,6,9,0,15,150,40,158,128
2025-09-08 13:45:00+00:00,12,21,4,37,187,23,122,140
2025-09-08 14:00:00+00:00,9,36,0,45,152,42,138,139
2025-09-08 14:15:00+00:00,12,36,0,48,164,17,158,123
2025-09-08 14:30:00+00:00,5,21,12,38,152,37,91,123
2025-09-08 14:45:00+00:00,11,63,0,74,203,27,137,148
2025-09-08 15:00:00+00:00,7,77,0,84,173,27,160,146
2025-09-08 15:15:00+00:00,6,33,17,56,133,22,126,123
2025-09-08 15:30:00+00:00,9,66,0,75,190,37,125,143
2025-09-08 15:45:00+00:00,8,56,0,64,180,26,106,125
2025-09-08 16:00:00+00:00,9,27,5,41,164,29,102,123
2025-09-08 16:15:00+00:00,9,55,6,70,145,37,117,121
2025-09-08 16:30:00+00:00,9,48,0,57,148,46,78,107
2025-09-08 16:45:00+00:00,12,50,0,62,104,33,90,116
2025-09-08 17:00:00+00:00,10,34,0,44,117,47,110,85
2025-09-08 17:15:00+00:00,7,27,5,39,117,29,73,79
2025-09-08 17:30:00+00:00,4,22,0,26,94,21,66,73
2025-09-08 17:45:00+00:00,7,38,8,53,80,31,54,80
2025-09-08 18:00:00+00:00,4,28,0,32,62,27,62,74
2025-09-08 18:15:00+00:00,4,30,2,36,75,33,63,61
2025-09-08 18:30:00+00:00,1,23,0,24,65,29,61,64
2025-09-08 18:45:00+00:00,4,16,4,24,72,30,50,51
